Question,Reponse
Comment effectuer une recherche pour un trajet,"Pour trouver un trajet, il vous suffit d'indiquer où vous vous rendez, d'où vous partez et quand. Choisissez ensuite un trajet qui vous convient ! Si vous avez besoin de plus d'informations, vous pouvez contacter les conducteurs avant de réserver ou consulter leurs profils pour voir leurs avis. Pour vous aider à trouver un trajet qui pourrait vous intéresser, nous affichons les trajets qui partent ou arrivent près de chez vous."
Je n'arrive toujours pas à trouver un trajet adéquat même après avoir effectué une recherche,"Pour vous aider à affiner vos résultats, vous trouverez des filtres utiles en haut des résultats de recherche : Type de trajet : Choisissez de trier entre les covoiturages et les trajets en bus; Le moins cher : Nous vous proposerons le trajet qui vous coûtera le moins cher ; Le plus proche : Nous vous proposerons le trajet dont le point de départ est le plus proche de vous. Passez à la vitesse supérieure en sélectionnant l'option <Filtres> dans les résultats de recherche et vous pourrez trier par : Profil Vérifié : Trouvez des conducteurs qui ont confirmé leur pièce d'identité, leur adresse e-mail, leur numéro de téléphone et faisant partie de notre communauté de confiance ; Acceptation automatique : Besoin de réserver à la dernière minute ? Ne vous embêtez pas avec le processus d'acceptation et réservez immédiatement ; Max 2 à l'arrière : Vous souhaitez covoiturer dans le confort ? Nous vous garantissons un maximum de 2 passager⋅ère⋅s à l'arrière de la voiture ; Départ le plus tôt : Vous êtes pressé·e ? Recherchez un trajet dont l'heure de départ approche ; Heure de départ : Vous préférez faire la grasse matinée ? Dites-nous quand vous préférez partir (le matin, l'après-midi ou le soir) ; Prix le plus bas : Vous avez un budget limité ? Trouvez le trajet au prix le plus bas ; Services et équipements : Toilettes à bord ? Pièce d'identité vérifiée? Acceptation automatique ? Vous avez le choix ! ; Nombre d'étapes : Recherchez les trajets avec un 1 arrêt ou les trajets directs uniquement."
Que faire si je ne trouve pas de trajet,Vous n'avez pas encore trouvé le trajet idéal ? Certains conducteurs publient leurs trajets quelques jours ou heures à l’avance seulement et nous sommes certains que vous allez bientôt trouver la perle rare en configurant une alerte.
Comment créer une alerte,"Suivez ces étapes : Allez sur Rechercher un trajet : Renseignez votre lieu de Départ et votre Destination ; Choisissez votre date de départ ; Cliquez sur Rechercher ; Les résultats de votre recherche s'affichent alors. Allez sur le bouton Créer une alerte (il peut se trouver tout en bas des résultats, vous devrez alors faire défiler la page !) ; Vous êtes déjà connecté(e) ? Une pastille verte confirme que vous avez créé l’alerte. Vous n’êtes pas connecté(e) ? Nous vous demanderons de confirmer votre adresse e-mail. Vous recevrez un e-mail chaque fois qu’un conducteur propose un trajet à la date de votre choix. Si vous souhaitez recevoir des alertes pour une autre date, vous devrez créer une nouvelle alerte."
Comment réserver un covoiturage,"Pour trouver un trajet, il vous suffit d'indiquer où vous vous rendez, d'où vous partez et quand. Choisissez ensuite un trajet qui vous convient ! Certains conducteurs vous permettront de réserver instantanément, d'autres choisissent d'examiner les demandes de réservation. Quoi qu'il en soit, une fois votre demande de réservation acceptée, vous recevez une confirmation de réservation et votre méthode de paiement sera débitée. Vous pourrez retrouver les détails de votre réservation et de votre trajet dans <Vos trajets>. Si votre trajet se déroule comme prévu, le conducteur est automatiquement payé ou peut demander son virement sur la plateforme BlaBlaCar. Peu importe combien de temps à l'avance vous réservez, le·la conducteur ne peut recevoir son paiement uniquement 24 heures après l'heure de départ. Si un conducteur vous envoie un lien de paiement via la messagerie BlaBlaCar ou en dehors de notre plateforme avant qu'une réservation ne soit confirmée, veuillez nous en informer en vous rendant sur le Profil du membre et en sélectionnant Signaler ce membre."
Demandes de réservation : comment ça fonctionne,"Si le trajet qui vous intéresse n'est pas en Réservation instantanée, le conducteur ou la conductrice pourra accepter ou refuser votre demande de réservation dans un délai de 3 heures. Si la demande de réservation est acceptée, vous recevrez immédiatement un e-mail avec les coordonnées de votre covoitureur, afin que vous puissiez finaliser les derniers détails du trajet ensemble. Si la demande de réservation est refusée ou si le conducteur ne répond pas dans les temps, vous ne serez pas débité."
Puis-je réserver à la dernière minute ?,"Même si BlaBlaCar est un bon plan pour vos voyages de dernière minute, nous vous recommandons de réserver votre place plusieurs heures avant le départ. Les places non réservées restent disponibles 15 minutes avant le départ. Cependant, si vous réservez quelques minutes avant le départ, il est possible que le conducteur ou la conductrice ait déjà pris la route. Dans ces cas là, difficile de décrocher le téléphone pour organiser une rencontre !Si vous vous trouvez dans cette situation, rendez-vous vite sur BlaBlaCar pour signaler que le contact n’a pas pu être établi à temps et obtenir un remboursement."
Comment réserver un trajet en covoiturage,"Vous avez trouvé le trajet idéal et êtes prêt à réserver ! Suivant le type d'annonce, vous pouvez soit réserver instantanément ou envoyer une demande de réservation.Sélectionnez l'annonce qui vous intéresse, ensuite cliquez sur Continuer, vérifiez les informations de la réservation, puis cliquez sur Réserver. Si le trajet est en Réservation instantané, vous n'avez plus rien à faire. S'il est en acceptation manuelle, le conducteur ou la conductrice pourra accepter ou refuser votre demande de réservation dans un délai de 3 heures. Si le conducteur ou la conductrice accepte votre demande de réservation, vous recevrez un e-mail de confirmation et votre méthode de paiement sera débitée. S'il ou elle refuse ou ne répond pas dans les 3 heures, aucun frais n'est retenu et vous êtes libre de réserver un autre trajet à la place. Si vous souhaitez réserver instantanément, il vous suffit de filtrer votre recherche pour afficher uniquement les trajets en Réservation instantanée."
Réservation instantanée et demande de réservation,"Pour les trajets sur lesquels la Réservation instantanée est activée, votre réservation est automatiquement confirmée. Si ce n'est pas le cas, le conducteur ou la conductrice aura 3 heures pour examiner votre demande de réservation. Si le conducteur ou la conductrice ne répond pas ou refuse votre demande, vous n'êtes pas débité et vous êtes libre de réserver un autre trajet à la place"
Comment savoir si ma demande de réservation a été acceptée,"Vous pouvez vérifier le statut de vos réservations sur la page Vos trajets. Si la demande de réservation est acceptée, un e-mail contenant les coordonnées de votre covoitureur vous seront envoyés dans la foulée, afin que vous puissiez finaliser les derniers détails du trajet ensemble. Si vous souhaitez réserver instantanément, il vous suffit de filtrer votre recherche pour afficher uniquement les trajets en Réservation instantanée."
