Question,Answer
"How to search for a route","To find a route, simply indicate where you're going, where you're departing from, and when. Then choose a suitable route! If you need more information, you can contact drivers before booking or check their profiles to see reviews. To help you find an interesting route, we display routes that depart from or arrive near you."
"I still can't find a suitable route even after searching","To refine your results, you'll find helpful filters at the top of the search results: Trip type: Choose between carpooling and bus trips; Cheapest: We'll propose the least expensive trip for you; Nearest: We'll suggest the trip with the nearest departure point to you. Take it up a notch by selecting the <Filters> option in the search results, and you can sort by: Verified Profile: Find drivers who have confirmed their ID, email address, phone number, and are part of our trusted community; Auto-acceptance: Need a last-minute booking? Skip the acceptance process and book immediately; Max 2 in back: Want to carpool in comfort? We guarantee a maximum of 2 passengers in the back of the car; Earliest departure: In a hurry? Look for a trip with a close departure time; Departure time: Prefer to sleep in? Let us know when you'd like to depart (morning, afternoon, or evening); Lowest price: On a tight budget? Find the lowest-priced trip; Services and amenities: Onboard toilets? Verified ID? Auto-acceptance? The choice is yours!; Number of stops: Search for trips with 1 stop or direct trips only."
"What should I do if I can't find a route?","Haven't found the ideal route yet? Some drivers post their trips only a few days or hours in advance, and we're confident you'll soon find the perfect match by setting an alert."
"How to create an alert","Follow these steps: Go to Find a ride: Enter your Departure and Destination; Choose your departure date; Click Search; Your search results will appear. Go to the Create Alert button (it might be at the bottom of the results, so you might need to scroll down the page!); Are you already logged in? A green badge confirms that you've created the alert. Not logged in? We'll ask you to confirm your email address. You'll receive an email whenever a driver offers a ride on your chosen date. If you want alerts for a different date, you'll need to create a new alert."
"How to book a carpooling ride","To find a ride, simply indicate where you're going, where you're departing from, and when. Then choose a suitable ride! Some drivers allow you to book instantly, while others choose to review booking requests. Either way, once your booking request is accepted, you'll receive a booking confirmation, and your payment method will be charged. You can find the details of your booking and ride in <Your Rides>. If your ride goes as planned, the driver is automatically paid or can request their payout on the BlaBlaCar platform. Regardless of how far in advance you book, the driver can only receive payment 24 hours after the departure time. If a driver sends you a payment link via BlaBlaCar messaging or outside our platform before a booking is confirmed, please inform us by going to the Member Profile and selecting Report this member."
"Booking requests: how does it work?","If the ride you're interested in isn't an Instant Booking, the driver has 3 hours to accept or decline your booking request. If the booking request is accepted, you'll receive an email immediately with your co-traveler's details, so you can finalize the last details of the ride together. If the booking request is declined or the driver doesn't respond in time, you won't be charged."
"Can I book last-minute?","Even though BlaBlaCar is great for last-minute trips, we recommend booking your spot several hours before departure. Unreserved seats remain available until 15 minutes before departure. However, if you book a few minutes before departure, the driver might already be on the road. In such cases, it's difficult to get in touch for a meetup! If you're in this situation, quickly visit BlaBlaCar to report that contact couldn't be established in time and get a refund."
"How to book a ride in carpooling","You've found the perfect ride and you're ready to book! Depending on the listing type, you can either book instantly or send a booking request. Select the listing you're interested in, then click Continue, review the booking information, and click Book. If the ride is Instant Booking, you're all set. If it's manually accepted, the driver has 3 hours to accept or decline your booking request. If the driver accepts your booking request, you'll receive a confirmation email, and your payment method will be charged. If they decline or don't respond within 3 hours, no fees are retained, and you're free to book another ride instead. If you want to book instantly, simply filter your search to show only Instant Booking rides."
"Instant Booking and booking request","For rides where Instant Booking is enabled, your booking is automatically confirmed. If not, the driver has 3 hours to review your booking request. If the driver doesn't respond or declines your request, you're not charged, and you're free to book another ride instead."
"How to know if my booking request is accepted","You can check the status of your bookings on the Your Rides page. If the booking request is accepted, an email with your co-traveler's details will be sent to you so you can finalize the last details of the ride together. If you want to book instantly, simply filter your search to show only Instant Booking rides."
"How to pay for my pet?","If your pet takes up space or travels in a crate, you may need to book an additional seat. Also, pet owners must provide the necessary equipment and documents for their journey (leash, health record, etc.)."
"If you don't receive responses from drivers","If the driver doesn't respond to your booking request within the given time, it will expire, and you won't be charged. If a driver seems unreachable, consider contacting other members who offer rides. Keep in mind that everyone's availability varies; for example, a member might be busy with work."
"How to increase your chances of booking request acceptance","When it comes to discrimination, we have a zero-tolerance policy. If we discover a driver has exhibited discriminatory behavior, we immediately suspend their Profile. However, we'd like to give you some tips to increase the chances of your booking request being accepted: We recommend adding a profile photo and filling out your mini-bio to make bookings easier. You can also verify your identity. To do so, go to Your Profile > Verify ID and scan your passport or ID card. This feature is entirely secure, making it even easier for BlaBlaCar members to trust each other. We strongly advise having only one profile on BlaBlaCar. A positive review after a ride can facilitate future bookings. That's why we recommend using a single profile for your bookings. This way, you'll have all your reviews on the same profile."
"If the driver asks you to pay outside of BlaBlaCar","If you paid for a ride outside of BlaBlaCar (e.g., via bank transfer) and the ride doesn't appear in the Your Rides section, you might have paid for a fraudulent booking. Contact us immediately for assistance."
"Identifying fraud attempts","Never share your contact details (phone number, email address) before a booking is confirmed, and always carefully review emails claiming to be from BlaBlaCar. These could be phishing attempts if you receive an email or link that seems to come from BlaBlaCar or another trusted site. These messages are designed to trick you into providing confidential information like passwords or other email addresses, or to make advance payments if a driver offers to pay you or provide something in return for payment via a platform outside of BlaBlaCar."
"If you can't send a message to a driver","Here are reasons why you might not be able to send a message: Your message is being moderated (our team is working on it as quickly as possible!), We haven't sent it because it doesn't comply with our writing rules, Your network or connection is insufficient, The ride took place more than 20 days ago, The driver declined your request, There's no more space for this ride, The ride is happening in less than 15 minutes. If you believe you can't send a message for another reason, contact us."
"Contacting a driver without having booked","Unless you've found a ride with instant acceptance, you'll need to ask a driver to accept your booking request. It's a good idea to send a message to the driver before booking, as they can answer any additional questions about their ride."
"Carpooling for my child","All passengers must be over 18 years old to create an account on BlaBlaCar. However, if you have a child who needs to travel, you can book a ride for them using your account. We recommend contacting the driver to ensure they're comfortable with transporting minors. Children under 13 must always be accompanied by a legal guardian or an adult authorized by a legal guardian for both national and international trips. A young child should travel in a special car seat suitable for their age and size, or a booster seat if they're a bit older. You need to book a seat for both yourself and the child. Only children over 13 can travel alone with parental permission."
"Are there reduced fares for children?","A child occupies a full seat, whether they need a car seat or use a seatbelt like any other passenger. That's why there are no reduced fares for children traveling by carpooling or bus. It's the passenger accompanying the child's responsibility to ensure they have the appropriate equipment (car seat, booster seat, seatbelt adapter)."
"Can I transport a package?","For safety reasons, it's not allowed to arrange for the transportation of parcels or objects without accompaniment."
"Can I bring my pet with me?","Pets can travel in carpooling under certain conditions: They travel with their owner; The driver accepts traveling with them - this information is on their ride listing."
"How to get my invoice","Right after booking your carpooling or bus ride, you'll receive a booking confirmation email. Look for Your Travel Reservation or Your Payment Receipt for your booking in your inbox. This email is designed to contain all the information you need to request reimbursement for your expenses, such as our VAT number. If you don't find this email in your inbox, check if it ended up in your Spam or Promotions folder."
